obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
-0.014528349973261356,-0.04468287527561188,0.16670027375221252,0.09038504958152771,-0.23525622487068176,0.008334795013070107,0.18618962168693542,-0.12931281328201294,0.004683611448854208,-0.18559794127941132,-0.16653265058994293,0.30648207664489746,0.30617600679397583,0.30887651443481445,-0.30578917264938354,-0.24019283056259155,-0.09430328756570816,0.0982527807354927,-0.06388889998197556,-0.0007754839025437832,0.240792915225029,-0.5598106980323792,0.03442889451980591,0.9358779191970825,0.709053635597229,0.29358208179473877,0.9909112453460693,0.5812252163887024,-0.7728477716445923,0.017588138580322266,0.11351074278354645,-0.949306309223175,-0.12302908301353455,0.36197394132614136,-0.5017708539962769,0.9100762009620667,-0.31166332960128784,-0.14482760429382324,-0.6739967465400696,0.13994178175926208,0.5133517384529114,-0.5921112298965454,0.28087592124938965,0.9976454377174377,-1.0826624929904938e-07,0.06858266890048981,-0.06844779849052429,0.06268097460269928,0.9956836700439453,0.05300532281398773,0.013382690027356148,0.14990562200546265,-0.09383896738290787,0.019429773092269897,0.1486680507659912,-0.09048637747764587,0.018340623006224632,0.15030011534690857,0.08942364901304245,0.006041083484888077,0.15779554843902588,-0.13696548342704773,0.019974414259195328,0.0891295075416565,0.13062381744384766,0.007054830901324749,0.10227063298225403,0.09893830865621567,-0.007757566869258881,-0.17984038591384888,-0.052811697125434875,-0.006689460948109627,-0.1875644028186798,-0.0009706425480544567,-7.481314241886139e-05,0.0723901093006134,0.07232734560966492,0.005388788878917694,-0.05675184726715088,-0.050655972212553024,0.012653985060751438,-0.07054507732391357,0.07307569682598114,0.005127782002091408,-0.08283710479736328,-0.05944252386689186,0.01108328066766262,-0.08739966154098511,0.0,0.2152213603258133,-0.019945498555898666,0.12233980745077133,-0.26923802495002747,-0.0016690604388713837,-0.1215319037437439,0.07274748384952545,-0.25790834426879883,0.24552223086357117,0.073835089802742,-0.11964038014411926,0.1940556764602661,-0.4994198977947235,0.12349732220172882,0.04067996144294739,-0.1279081255197525,0.015300552360713482,-0.25066643953323364,0.5513849854469299,-0.114490807056427,-0.4347688853740692
-0.02442561835050583,-0.04768224433064461,0.1829424798488617,0.07981046289205551,-0.23700584471225739,0.019616857171058655,0.17360147833824158,-0.12593583762645721,0.004078506957739592,-0.18535277247428894,-0.16585949063301086,0.3038485646247864,0.3022233545780182,0.3188597559928894,-0.30861175060272217,-0.2253909856081009,-0.08780106157064438,0.09037702530622482,-0.054780635982751846,0.0014511281624436378,0.2428310215473175,-0.712744951248169,0.864798367023468,-0.1703810691833496,0.7785784602165222,-0.6126649379730225,0.7521177530288696,-0.7635350823402405,-0.8370307683944702,-0.7616848349571228,0.643826425075531,0.6318202614784241,0.6678526401519775,-0.4281958341598511,0.8762796521186829,0.8384787440299988,-0.44091591238975525,-0.30228376388549805,-0.5811733603477478,0.33236292004585266,0.22261835634708405,0.6066073775291443,0.2840923070907593,0.9985894560813904,1.237494871020317e-07,0.053094975650310516,-0.05309426039457321,0.005197532474994659,0.9985759854316711,0.05785411596298218,0.00997373927384615,0.15131011605262756,-0.09321610629558563,0.012558165937662125,0.1416003704071045,-0.09622780978679657,0.018438735976815224,0.14411580562591553,0.09011701494455338,0.006002380512654781,0.15138965845108032,-0.1358095407485962,0.021416576579213142,0.08741620182991028,0.1254778951406479,0.013495282270014286,0.09262025356292725,0.09979983419179916,-0.014157397672533989,-0.18481150269508362,-0.05459326505661011,-0.005768356844782829,-0.19182874262332916,-0.0029061762616038322,0.00048798881471157074,0.06838324666023254,0.06547899544239044,0.0017964867874979973,-0.061436593532562256,-0.05496135726571083,0.007896452210843563,-0.0775350034236908,0.07214794307947159,0.008779801428318024,-0.08787025511264801,-0.052095502614974976,0.015180941671133041,-0.09037813544273376,0.0009756097570061684,0.1784098595380783,-0.001666288822889328,0.09576905518770218,-0.20345884561538696,-0.0220278762280941,-0.1215919554233551,0.08012813329696655,-0.23265033960342407,0.12751463055610657,0.09265631437301636,-0.07643994688987732,0.18662899732589722,-0.4761214554309845,0.140768900513649,0.025642352178692818,-0.10411739349365234,0.025237809866666794,-0.2702510356903076,0.4792623221874237,-0.07784564793109894,-0.42025479674339294
-0.017872516065835953,-0.051749199628829956,0.17401041090488434,0.07242567837238312,-0.22340744733810425,0.005661808419972658,0.17372053861618042,-0.1313665509223938,0.008543484844267368,-0.1807333528995514,-0.1547463834285736,0.31214872002601624,0.2899814248085022,0.3116566240787506,-0.31617820262908936,-0.24044202268123627,-0.09442426264286041,0.08847775310277939,-0.04823907092213631,0.0011296002194285393,0.23782238364219666,0.3788575530052185,0.49773848056793213,1.0111172199249268,-0.6033256649971008,-0.8801203370094299,-0.8064385056495667,-0.3036147952079773,-0.2400948405265808,0.6776262521743774,0.9399424195289612,-0.7781468629837036,0.9179655909538269,-0.46156710386276245,-0.3625119626522064,0.31262922286987305,-0.1195545345544815,-0.09557410329580307,0.5921618938446045,0.9332739114761353,-0.30486929416656494,-0.05600559711456299,0.28153762221336365,0.9969415068626404,-6.298068910837173e-08,0.07815098017454147,-0.07808636873960495,0.040653523057699203,0.996117353439331,0.058481380343437195,0.011540381237864494,0.14764150977134705,-0.09098652005195618,0.017497550696134567,0.14144840836524963,-0.09396412968635559,0.02042962610721588,0.14248692989349365,0.08612731844186783,0.01340615376830101,0.14768534898757935,-0.13701482117176056,0.01832147315144539,0.08343091607093811,0.12632183730602264,0.009721559472382069,0.0882408618927002,0.09388677775859833,-0.01361691765487194,-0.18848447501659393,-0.05673053115606308,-0.008701276034116745,-0.1997772753238678,-0.0049738166853785515,0.005773507058620453,0.06529510021209717,0.06529466062784195,0.006335086189210415,-0.06386882066726685,-0.05610658973455429,0.006555397063493729,-0.08109201490879059,0.07965149730443954,0.0062052286230027676,-0.08705918490886688,-0.05006546154618263,0.011788064613938332,-0.09459318220615387,0.0019512195140123367,0.13715842366218567,-0.0406159833073616,0.1414039582014084,-0.38703614473342896,0.11987005174160004,-0.10972270369529724,0.09528065472841263,-0.3293195366859436,0.14844712615013123,0.06119630113244057,-0.10686923563480377,0.27160558104515076,-0.5601586103439331,0.2030715048313141,0.04315882921218872,-0.1462056040763855,0.14681588113307953,-0.34961968660354614,0.6491848826408386,-0.18440142273902893,-0.43118035793304443
-0.019484486430883408,-0.055040858685970306,0.18778128921985626,0.06333491206169128,-0.22593533992767334,0.009192219004034996,0.18821969628334045,-0.15003640949726105,0.0004320758453104645,-0.16375695168972015,-0.1601870059967041,0.31133386492729187,0.2772339880466461,0.3265184760093689,-0.3176034092903137,-0.24472028017044067,-0.08424874395132065,0.074408158659935,-0.032394006848335266,-0.0036551328375935555,0.23388439416885376,-0.6085436344146729,-0.9459044337272644,1.3470749855041504,-0.28117653727531433,-0.5706809163093567,-1.2279691696166992,0.8713464736938477,0.024826467037200928,-0.3638029992580414,0.3429824113845825,-0.562389612197876,1.18609619140625,-1.7442383766174316,1.1461390256881714,-0.8735162019729614,0.4707687497138977,0.5037462711334229,-0.07482355833053589,0.49209630489349365,-0.9624043703079224,-0.7977476716041565,0.2634667158126831,0.9961707592010498,-1.5881960280239582e-07,0.08742906153202057,-0.08742594718933105,0.008443235419690609,0.9961352348327637,0.05922488123178482,0.007741979788988829,0.1532999575138092,-0.09387929737567902,0.020118173211812973,0.1534125804901123,-0.09557034075260162,0.018751908093690872,0.14957591891288757,0.08879140019416809,0.010950218886137009,0.15357568860054016,-0.12859538197517395,0.01927332766354084,0.09378305077552795,0.13142478466033936,0.007171806879341602,0.10544180870056152,0.09346810728311539,-0.013455210253596306,-0.17795442044734955,-0.05096271261572838,-0.012671742588281631,-0.19034241139888763,0.001371411606669426,0.002812138758599758,0.07249414920806885,0.06636331975460052,0.0041711232624948025,-0.060906246304512024,-0.053080543875694275,0.01114528439939022,-0.06217268109321594,0.07334161549806595,0.0034454227425158024,-0.07807517051696777,-0.05742290988564491,0.014454125426709652,-0.08762755990028381,0.002926829271018505,0.09643696993589401,0.08177526295185089,0.04178723320364952,-0.10679261386394501,0.027481377124786377,-0.07110026478767395,0.024968067184090614,-0.102152019739151,-0.02289370447397232,0.012029537931084633,-0.11270446330308914,0.1046978235244751,-0.13192610442638397,0.028640080243349075,0.02235065959393978,0.12156393378973007,0.2074478566646576,-0.12042995542287827,0.2421422004699707,-0.08863662928342819,-0.35136380791664124
-0.013601505197584629,-0.04939773306250572,0.18700623512268066,0.06234285235404968,-0.23774538934230804,-0.01271736342459917,0.18014732003211975,-0.1474742740392685,0.0092637799680233,-0.1642725020647049,-0.15814410150051117,0.31884217262268066,0.25395724177360535,0.3256630599498749,-0.31816741824150085,-0.25008684396743774,-0.08664257079362869,0.07701083272695541,-0.029092546552419662,0.0031240021344274282,0.21733073890209198,-0.5860928893089294,-0.7303121089935303,0.4782179594039917,-0.3605978488922119,0.03310588002204895,-0.41958123445510864,1.1553280353546143,-0.5979124903678894,0.3854735195636749,0.07755296677350998,-0.6424742341041565,0.7980717420578003,-1.817116379737854,1.267916202545166,0.3838157653808594,-0.8026574850082397,-0.39158156514167786,-0.8876338005065918,0.7503728270530701,0.32767197489738464,-0.4997577667236328,0.2688245177268982,0.9996679425239563,-1.5998375602066517e-07,0.02576911449432373,-0.025757502764463425,0.0300121009349823,0.9992176294326782,0.06098704785108566,0.012609452940523624,0.13576743006706238,-0.09327707439661026,0.01726163923740387,0.13677096366882324,-0.09336519986391068,0.01675969548523426,0.13602417707443237,0.08593036234378815,0.008334329351782799,0.14054128527641296,-0.1350850611925125,0.023834114894270897,0.08183607459068298,0.12465493381023407,0.0085834339261055,0.08222329616546631,0.09677929431200027,-0.011346373707056046,-0.1914944052696228,-0.04923396557569504,-0.012141726911067963,-0.20300552248954773,0.002205607946962118,0.004262980073690414,0.05658963322639465,0.07103011012077332,0.006070929579436779,-0.07279269397258759,-0.056662384420633316,0.004430834203958511,-0.08101913332939148,0.07237683236598969,0.007104041054844856,-0.09824928641319275,-0.05279945209622383,0.008148045279085636,-0.09931014478206635,0.0039024390280246735,0.1229725033044815,0.11704935878515244,0.020422808825969696,-0.2396119236946106,0.13304403424263,-0.0875886082649231,0.010593919083476067,-0.114833764731884,0.05541393160820007,0.04165025055408478,-0.041708171367645264,0.12212807685136795,-0.16272461414337158,0.05399220809340477,0.030303316190838814,0.0498322919011116,0.2737194001674652,-0.1772497445344925,0.30580273270606995,-0.12484721839427948,-0.2521689534187317
-0.00402047298848629,-0.04792267829179764,0.20510242879390717,0.05453391373157501,-0.23710890114307404,-0.01675967313349247,0.18601097166538239,-0.15389029681682587,-0.004659522324800491,-0.16166672110557556,-0.16511745750904083,0.3338537812232971,0.2527075707912445,0.33851495385169983,-0.31300175189971924,-0.23218059539794922,-0.09394822269678116,0.07869390398263931,-0.027246080338954926,-0.009485909715294838,0.1990000605583191,-0.7117384076118469,-0.13936614990234375,-0.5519101023674011,-0.7317778468132019,0.18890246748924255,-1.3383469581604004,0.46133726835250854,0.5278525352478027,-0.5090175867080688,0.7583422064781189,-0.47780925035476685,0.7749707698822021,-0.90465247631073,-0.34167906641960144,0.5088034868240356,-0.507420539855957,1.131878137588501,0.6211544871330261,-0.4599425196647644,0.649663507938385,-1.205256462097168,0.24998785555362701,0.9937207698822021,6.705522537231445e-08,0.11188855022192001,-0.11180651932954788,0.038284096866846085,0.9929922819137573,0.0595838725566864,0.007581247482448816,0.14696140587329865,-0.09826827794313431,0.02052179165184498,0.1347486823797226,-0.09214934706687927,0.02220010757446289,0.14202852547168732,0.08265488594770432,0.010110678151249886,0.14458225667476654,-0.1369810700416565,0.029777925461530685,0.08046619594097137,0.13242720067501068,0.007298988290131092,0.0875094085931778,0.09341678768396378,-0.010087378323078156,-0.18791618943214417,-0.05349878966808319,-0.010407289490103722,-0.19479325413703918,-0.004694375675171614,0.006027227267622948,0.06446854770183563,0.06640733778476715,0.004887457937002182,-0.06609727442264557,-0.05381488800048828,0.010934361256659031,-0.07858368754386902,0.07926075905561447,0.005887138191610575,-0.09390442073345184,-0.047341812402009964,0.010121596977114677,-0.10056759417057037,0.004878048785030842,0.16561725735664368,0.06109360605478287,0.022572848945856094,0.07968362420797348,-0.002714872360229492,-0.06411995738744736,0.010084830224514008,-0.02978821098804474,0.12950417399406433,-0.005840126425027847,-0.062333717942237854,0.19943076372146606,-0.08140216767787933,0.022483937442302704,0.005290308967232704,0.4438519775867462,0.24928507208824158,-0.07619943469762802,0.11629705876111984,-0.08527569472789764,-0.1770627200603485
-0.00292428070679307,-0.03673110902309418,0.20944397151470184,0.017326872795820236,-0.23907607793807983,-0.018156198784708977,0.19029630720615387,-0.16400916874408722,0.003349600126966834,-0.17526806890964508,-0.1780872344970703,0.3591177463531494,0.23801791667938232,0.33764976263046265,-0.30744054913520813,-0.27610912919044495,-0.07290317118167877,0.0651727244257927,-0.01212267391383648,0.0039020217955112457,0.2042749524116516,-0.5267423391342163,-0.02500075101852417,0.6264728307723999,-1.6851240396499634,0.47589853405952454,-1.4397915601730347,-0.6480522155761719,0.7578330039978027,0.5695585012435913,-0.7955071926116943,-0.7208161354064941,0.08698797225952148,-0.33525335788726807,1.1558163166046143,0.9905245900154114,-1.4882686138153076,0.6540811657905579,-0.4603891670703888,0.4387674629688263,-0.2480655312538147,-0.7694491147994995,0.23968710005283356,0.9984692335128784,5.4656993597745895e-08,0.0553104393184185,-0.055281829088926315,-0.03215717524290085,0.9979528188705444,0.06535263359546661,0.008293168619275093,0.1430503875017166,-0.08785673975944519,0.019052831456065178,0.1462002843618393,-0.08548018336296082,0.02159585990011692,0.14451883733272552,0.09604648500680923,0.005883094388991594,0.14639945328235626,-0.1314774602651596,0.03127650171518326,0.0895603746175766,0.13343800604343414,0.005178403574973345,0.09251125156879425,0.09233701229095459,-0.007679980248212814,-0.18832439184188843,-0.04597356915473938,-0.01643609255552292,-0.1898389756679535,0.0012825792655348778,0.0013369284570217133,0.0686996728181839,0.06345158815383911,0.003085518255829811,-0.06971071660518646,-0.04915470629930496,0.014175346121191978,-0.07213391363620758,0.06964470446109772,0.008502799086272717,-0.09119026362895966,-0.051855042576789856,0.01523573137819767,-0.08931930363178253,0.00585365854203701,0.058530375361442566,0.06219981610774994,-0.0025285491719841957,0.10329382866621017,-0.034277357161045074,-0.004512918181717396,0.002871345728635788,0.037993185222148895,0.16061080992221832,0.0028513073921203613,-0.01020406000316143,0.1545288860797882,0.07016155868768692,0.007567085325717926,-0.014104112982749939,0.34555667638778687,0.26727285981178284,-0.049664512276649475,0.014728501439094543,0.00398473534733057,-0.09400676190853119
-0.0017396961338818073,-0.04122710973024368,0.21827934682369232,0.008587248623371124,-0.2574586868286133,-0.028278011828660965,0.20349839329719543,-0.15575414896011353,0.008534014225006104,-0.15977129340171814,-0.17503389716148376,0.35976892709732056,0.228780135512352,0.3509168326854706,-0.29157689213752747,-0.27328863739967346,-0.09030435234308243,0.06611523032188416,-0.004881737753748894,-0.013813492842018604,0.21479949355125427,0.8832599520683289,1.0102341175079346,-0.5792539119720459,0.2855563163757324,-0.49414217472076416,-1.0193294286727905,-0.055132657289505005,-0.6248456835746765,0.04090410843491554,-0.5910881161689758,0.1989615112543106,0.05192256718873978,-0.5573392510414124,-0.28472161293029785,-0.43760019540786743,0.5869912505149841,0.28691989183425903,-0.4109874665737152,-0.36060482263565063,0.44370463490486145,-0.41773319244384766,0.2434139847755432,0.9970775842666626,1.9208528101444244e-07,0.0763954222202301,-0.07632330060005188,-0.0434400849044323,0.9961363673210144,0.06482860445976257,0.009616298601031303,0.138262540102005,-0.08227623999118805,0.021412037312984467,0.14043718576431274,-0.08099465817213058,0.024776777252554893,0.13926821947097778,0.09818900376558304,0.0021627643145620823,0.1424732208251953,-0.1264677196741104,0.030678872019052505,0.08742260932922363,0.13668230175971985,0.0050670793280005455,0.0783764123916626,0.08969921618700027,-0.008972520008683205,-0.19272957742214203,-0.05293355509638786,-0.013133682310581207,-0.1972464621067047,0.0017998958937823772,0.009446356445550919,0.0621703565120697,0.07088642567396164,0.00468703918159008,-0.06929275393486023,-0.053704969584941864,0.005591708235442638,-0.0766262412071228,0.07302922010421753,0.003676328808069229,-0.09945783019065857,-0.05647435039281845,0.008947792463004589,-0.09040622413158417,0.0068292682990431786,0.10658536851406097,0.09492016583681107,-0.03977270796895027,0.16086773574352264,-0.1121235191822052,-0.04615432396531105,0.038013119250535965,0.08816816657781601,0.10484681278467178,0.007472103461623192,0.01825564168393612,0.21291795372962952,0.09910333156585693,-0.00017884746193885803,-0.013134649954736233,0.45549947023391724,0.44200003147125244,-0.04118578881025314,-0.020970938727259636,0.020022494718432426,-0.18628405034542084
-0.009248437359929085,-0.029537610709667206,0.21681788563728333,0.006998919881880283,-0.2542426288127899,-0.02261839434504509,0.20170314610004425,-0.15405318140983582,-0.00478780223056674,-0.1639942079782486,-0.170156791806221,0.3665188252925873,0.2410106509923935,0.3465310037136078,-0.29220283031463623,-0.2582300901412964,-0.09627608954906464,0.07771817594766617,-0.009712615981698036,-0.0013481061905622482,0.2019994854927063,0.5234113335609436,0.274291455745697,0.989224910736084,-0.9104418158531189,1.088649034500122,-0.331794798374176,-0.10901965945959091,0.4377872347831726,-0.21781624853610992,0.812370240688324,0.5519809722900391,0.44355344772338867,0.6372116804122925,0.7781339287757874,0.661207914352417,1.4467345476150513,0.15024563670158386,-0.03171781077980995,-0.6366751194000244,-0.03648819401860237,-0.13195037841796875,0.2400587648153305,0.9986139535903931,-9.610084816813469e-08,0.05263262987136841,-0.05261940509080887,-0.022414477542042732,0.9983630776405334,0.06229374557733536,0.009378627873957157,0.1487436145544052,-0.08676507323980331,0.019795745611190796,0.15150077641010284,-0.08239627629518509,0.025254322215914726,0.15245984494686127,0.0969085693359375,0.0046746209263801575,0.1492118388414383,-0.13146333396434784,0.02573099546134472,0.09752251207828522,0.13004279136657715,0.004217555746436119,0.08580942451953888,0.09129015356302261,-0.0115622878074646,-0.19168007373809814,-0.04857436567544937,-0.016357703134417534,-0.18659016489982605,0.004671483300626278,0.0011270809918642044,0.07152770459651947,0.06333266943693161,0.006558147259056568,-0.0649842768907547,-0.05014045909047127,0.0062775993719697,-0.06865975260734558,0.06698059290647507,0.0042528267949819565,-0.08877292275428772,-0.05015444755554199,0.007625080645084381,-0.0912160724401474,0.007804878056049347,0.14493125677108765,0.12395821511745453,-0.03940196707844734,0.12771573662757874,-0.09045155346393585,-0.02776237390935421,0.03479153290390968,0.07163068652153015,0.07972055673599243,0.009730538353323936,-0.007665611803531647,0.20146408677101135,0.18212564289569855,-0.019394487142562866,-0.021093107759952545,0.5017415285110474,0.4708930253982544,-0.053978536278009415,-0.06800864636898041,-0.02350660227239132,-0.22443059086799622
-0.0008712280541658401,-0.02778194658458233,0.20458725094795227,0.010233440436422825,-0.24020898342132568,-0.03559987246990204,0.1954374760389328,-0.16223594546318054,0.0027739566285163164,-0.17219386994838715,-0.18210147321224213,0.3695748448371887,0.2443303018808365,0.36156123876571655,-0.2935212552547455,-0.2606517970561981,-0.102931447327137,0.058252908289432526,-0.011101347394287586,-0.011921084485948086,0.20211365818977356,-0.7966049313545227,0.45736026763916016,0.5029959678649902,-0.5056033134460449,-0.44684040546417236,0.1090882271528244,0.4214525818824768,-0.2785489559173584,-0.8094845414161682,-0.034228138625621796,-0.07523959875106812,1.0052311420440674,0.4678335189819336,-0.14640606939792633,-0.23342493176460266,0.45541441440582275,-1.3386403322219849,0.7774710655212402,0.28183674812316895,-0.1621789038181305,0.4984514117240906,0.24459044635295868,0.9965822696685791,7.543712854385376e-08,0.08260590583086014,-0.08247669786214828,-0.0559069961309433,0.9950236082077026,0.06278591603040695,0.0048423875123262405,0.14491643011569977,-0.08263863623142242,0.02639634534716606,0.14545182883739471,-0.08300260454416275,0.021130478009581566,0.1467014104127884,0.09841550141572952,0.003888464532792568,0.14047293365001678,-0.1281328797340393,0.0272193793207407,0.08775429427623749,0.13018059730529785,0.008495476096868515,0.08121232688426971,0.08859588205814362,-0.012923140078783035,-0.1927499771118164,-0.048099495470523834,-0.0130840465426445,-0.1989065706729889,-0.00037082796916365623,0.005248278379440308,0.06788380444049835,0.06270894408226013,0.007447763346135616,-0.07657924294471741,-0.05596907064318657,0.008286772295832634,-0.07546304166316986,0.07107424736022949,0.0012026536278426647,-0.09845714271068573,-0.05200541391968727,0.008860684931278229,-0.09934215247631073,0.008780487813055515,0.09776127338409424,0.15268179774284363,-0.04211365431547165,0.11737822741270065,-0.08367409557104111,0.0019176017958670855,0.018029000610113144,0.09447638690471649,0.0859687328338623,0.011687539517879486,-0.009303776547312737,0.2071877121925354,0.21003666520118713,-0.0019069751724600792,-0.024719711393117905,0.4431132972240448,0.5098190903663635,-0.08271446079015732,-0.062201328575611115,-0.025098150596022606,-0.24649518728256226
