obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,obs_89,obs_90,obs_91,obs_92,obs_93,obs_94,obs_95,obs_96,obs_97,obs_98,obs_99,obs_100,obs_101,obs_102,obs_103,obs_104,obs_105,obs_106,obs_107,obs_108,obs_109,obs_110,obs_111,obs_112,obs_113,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
-0.4314190745353699,0.056447409093379974,-0.02596239000558853,0.7917714715003967,-0.36108869314193726,-0.062125932425260544,-0.43279433250427246,-0.04671218991279602,0.02156766504049301,0.7946944236755371,-0.36240726709365845,0.05144753307104111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047613680362701416,0.28899210691452026,-0.1289733648300171,-0.10104775428771973,0.04559159278869629,-0.3163500726222992,-0.03407374024391174,0.2885473072528839,-0.1314268410205841,0.07249414920806885,-0.03269985318183899,-0.3170112073421478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.329316997533415e-16,-3.329316997533415e-16,1.0,-3.329316997533415e-16,-5.54217609647159e-32,-2.8568370227243245e-30,-8.323292176196182e-15,8.580850331500744e-15,-0.06909063458442688,-0.07749681919813156,0.018210869282484055,0.07733947038650513,-0.0848589837551117,-0.04028947278857231,-0.06025621294975281,0.0725628137588501,0.04420881345868111,0.09530365467071533,0.08530506491661072,0.08447669446468353,0.062432773411273956,0.08877072483301163,-0.09973003715276718,-0.0455835722386837,-0.03355008363723755,0.09142907708883286,-0.05293578281998634,0.051914699375629425,-0.054269976913928986,0.035785138607025146,0.23444277048110962,-0.105307437479496,-0.07601380348205566,0.034293532371520996,-0.2569284439086914,-0.030428171157836914,0.2342667430639267,-0.10627787560224533,0.0647127628326416,-0.02919137477874756,-0.2571904957294464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2096978724002838,0.2075783908367157,-0.6486819386482239,0.2667328417301178,0.5182185173034668,0.03004664182662964,0.2905859351158142,-0.13776257634162903,0.20349083840847015,-0.16482135653495789,-0.7523225545883179,-0.1784292459487915,0.1549343466758728,-0.216483473777771,0.0554061159491539,0.3401762843132019,-0.040640443563461304,0.21092383563518524,0.033006034791469574,-0.17922356724739075,0.11271988600492477
-0.4302302300930023,0.06331823766231537,-0.029015175998210907,0.789249837398529,-0.3599509000778198,-0.0696413666009903,-0.4335487186908722,-0.039855632930994034,0.018436148762702942,0.796299934387207,-0.36313143372535706,0.04391089454293251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08310079574584961,0.45264047384262085,-0.19997116923332214,-0.17615258693695068,0.07948428392410278,-0.4946150779724121,-0.045008957386016846,0.45138970017433167,-0.20687393844127655,0.09582936763763428,-0.04322230815887451,-0.49647390842437744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998335242271423,0.018239334225654602,-0.018238496035337448,0.9998323321342468,0.0005293614813126624,-0.0016263802535831928,0.14923426508903503,0.028481608256697655,1.390426754951477,-0.06637686491012573,-0.07361447066068649,0.011651946231722832,0.07476067543029785,-0.06397214531898499,-0.03775936737656593,-0.049256861209869385,0.07124129682779312,0.03904550522565842,0.0872148871421814,0.056255191564559937,0.07334229350090027,0.05668221786618233,0.07685623317956924,-0.08759558200836182,-0.03820618987083435,-0.030904315412044525,0.08408091962337494,-0.04699430987238884,0.04677801951766014,-0.04923849180340767,0.17386627197265625,0.15413744747638702,-0.3299417495727539,-0.10195853561162949,1.1530827283859253,0.16136062145233154,0.5683477520942688,-0.1262863129377365,-0.2601046562194824,-0.4852389395236969,-1.7063305377960205,-0.5881296992301941,-0.3738885521888733,-0.7876554727554321,0.6858671307563782,0.47882938385009766,0.13495899736881256,-0.42254307866096497,0.3847542405128479,-0.2594622075557709,0.2543198764324188,-0.2096978724002838,0.2075783908367157,-0.6486819386482239,0.2667328417301178,0.5182185173034668,0.03004664182662964,0.2905859351158142,-0.13776257634162903,0.20349083840847015,-0.16482135653495789,-0.7523225545883179,-0.1784292459487915,0.1549343466758728,-0.216483473777771,0.0554061159491539,0.3401762843132019,-0.040640443563461304,0.21092383563518524,0.033006034791469574,-0.17922356724739075,0.11271988600492477,-0.695917010307312,0.2001068890094757,-0.6931042075157166,0.2278132140636444,0.7629933953285217,0.0772792249917984,0.7551242113113403,-0.09292154014110565,0.3066996932029724,0.29485630989074707,-1.029394268989563,-0.33741429448127747,0.20072486996650696,-0.22813504934310913,0.1503656804561615,0.5420113205909729,-0.2606685757637024,0.3863120377063751,-0.016950763761997223,-0.2925260663032532,0.16691923141479492
-0.4280950427055359,0.07455302774906158,-0.03396123647689819,0.7847253680229187,-0.35790932178497314,-0.08191053569316864,-0.43459469079971313,-0.028656601905822754,0.01329270750284195,0.7985275983810425,-0.3641361594200134,0.03158857673406601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277722418308258,0.6011344194412231,-0.2606501877307892,-0.2701893448829651,0.12194216251373291,-0.6547890901565552,-0.043229758739471436,0.5983680486679077,-0.2759764492511749,0.09209215641021729,-0.04153549671173096,-0.6588947176933289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986618757247925,0.05170777812600136,-0.051711831241846085,0.9986464381217957,-0.0005784209351986647,-0.005620608571916819,0.21965019404888153,-0.09597642719745636,1.8425965309143066,-0.0638577938079834,-0.0709267407655716,0.005580356810241938,0.07533121109008789,-0.03519618511199951,-0.03377850726246834,-0.03806662559509277,0.06910985708236694,0.03608391061425209,0.07976460456848145,0.016354292631149292,0.05849656090140343,0.04923195764422417,0.06054113805294037,-0.07353898882865906,-0.026773391291499138,-0.02905646339058876,0.07860194891691208,-0.03932757303118706,0.04146285355091095,-0.04422711953520775,0.1435370147228241,0.136884868144989,-0.2909950017929077,0.116848886013031,1.4668903350830078,0.2053624838590622,0.5069388747215271,-0.1265033483505249,-0.09929963946342468,-0.3336533308029175,-2.024481773376465,-0.759789764881134,-0.36407774686813354,-0.8002687692642212,0.6792097687721252,0.583698570728302,0.08197624981403351,-0.23353888094425201,0.3698061406612396,-0.257364422082901,0.24207818508148193,-0.695917010307312,0.2001068890094757,-0.6931042075157166,0.2278132140636444,0.7629933953285217,0.0772792249917984,0.7551242113113403,-0.09292154014110565,0.3066996932029724,0.29485630989074707,-1.029394268989563,-0.33741429448127747,0.20072486996650696,-0.22813504934310913,0.1503656804561615,0.5420113205909729,-0.2606685757637024,0.3863120377063751,-0.016950763761997223,-0.2925260663032532,0.16691923141479492,-1.056016445159912,0.18950894474983215,-0.5366619229316711,0.13182735443115234,0.6705287098884583,0.18610639870166779,0.9597659707069397,0.13438045978546143,0.4786667227745056,0.7650575637817383,-1.1274504661560059,-0.4455914795398712,0.3201025128364563,-0.15237483382225037,0.2574416399002075,0.7418884634971619,-0.5218542814254761,0.4278298318386078,-0.06204015761613846,-0.39252325892448425,0.17429983615875244
-0.4251193404197693,0.08736361563205719,-0.03944118320941925,0.7784422636032104,-0.3550732135772705,-0.0958329290151596,-0.43527790904045105,-0.015920910984277725,0.007397091016173363,0.7999836206436157,-0.3647928535938263,0.017555106431245804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15929117798805237,0.6602272391319275,-0.28067082166671753,-0.33613890409469604,0.15173554420471191,-0.7167851328849792,-0.029627233743667603,0.655992865562439,-0.3041830062866211,0.06315857172012329,-0.028484314680099487,-0.723063051700592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962606430053711,0.08632515370845795,-0.08635325729846954,0.9962269067764282,-0.002807473763823509,-0.008938178420066833,0.07496216148138046,-0.1069963127374649,1.492566704750061,-0.06174391508102417,-0.06706681847572327,0.0010492969304323196,0.08111083507537842,-0.009335964918136597,-0.026967909187078476,-0.02966025471687317,0.06914480030536652,0.036343954503536224,0.07601058483123779,-0.023562878370285034,0.04188300296664238,0.04332762211561203,0.04706675931811333,-0.05982484668493271,-0.01447680126875639,-0.028332455083727837,0.07524355500936508,-0.03299899026751518,0.0362284891307354,-0.039625778794288635,0.08495678752660751,0.16651397943496704,-0.2950516939163208,0.38005420565605164,1.0350192785263062,0.3600311875343323,0.39126116037368774,0.08447427302598953,0.023743515834212303,-0.1714830994606018,-1.9109724760055542,-0.8021905422210693,-0.2636570334434509,-0.5873039960861206,0.6468533277511597,0.6051422953605652,0.030720122158527374,-0.14034925401210785,0.28727811574935913,-0.2538818120956421,0.22265754640102386,-1.056016445159912,0.18950894474983215,-0.5366619229316711,0.13182735443115234,0.6705287098884583,0.18610639870166779,0.9597659707069397,0.13438045978546143,0.4786667227745056,0.7650575637817383,-1.1274504661560059,-0.4455914795398712,0.3201025128364563,-0.15237483382225037,0.2574416399002075,0.7418884634971619,-0.5218542814254761,0.4278298318386078,-0.06204015761613846,-0.39252325892448425,0.17429983615875244,-1.11490797996521,0.4156433045864105,-0.3971928656101227,0.10579734295606613,0.30264192819595337,0.22485630214214325,0.8155165314674377,0.5791709423065186,0.515144944190979,0.9318790435791016,-1.0327889919281006,-0.5228046178817749,0.45488956570625305,-0.0028240084648132324,0.35920676589012146,0.9428719878196716,-0.7118756771087646,0.3585211932659149,-0.017732419073581696,-0.5235555768013,0.07489483803510666
-0.4217233955860138,0.10096211731433868,-0.045188069343566895,0.7712798118591309,-0.35183990001678467,-0.11058194190263748,-0.43577978014945984,-0.002416888950392604,0.001125386799685657,0.8010539412498474,-0.3652755320072174,0.0026660538278520107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22698789834976196,0.7739883065223694,-0.3146294355392456,-0.4764676094055176,0.21518245339393616,-0.8343443274497986,0.001313537359237671,0.7666022777557373,-0.356079638004303,-0.0027999281883239746,0.0012628734111785889,-0.8452479839324951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951626062393188,0.09811653196811676,-0.09814867377281189,0.9951489567756653,-0.004262883681803942,-0.00718796718865633,-0.07994306087493896,-0.062323424965143204,-0.029655389487743378,-0.06106671690940857,-0.06070551648736,-0.003845009719952941,0.08713507652282715,-0.0005792081356048584,-0.018967490643262863,-0.024489670991897583,0.07719418406486511,0.03718562796711922,0.07565927505493164,-0.05441918969154358,0.025259528309106827,0.03975091129541397,0.038947027176618576,-0.046846162527799606,-0.0020070441532880068,-0.028401440009474754,0.0720096305012703,-0.02772180549800396,0.030930547043681145,-0.0357680581510067,0.00702332379296422,0.34148678183555603,-0.17494270205497742,0.17949596047401428,0.2134792059659958,0.3881171941757202,0.21548832952976227,0.4464796781539917,0.021336542442440987,0.11068157106637955,-1.2772783041000366,-0.8069590926170349,-0.1426803171634674,-0.32383522391319275,0.6193244457244873,0.608147919178009,-0.005405704490840435,-0.15330345928668976,0.2467130869626999,-0.257367342710495,0.18402153253555298,-1.11490797996521,0.4156433045864105,-0.3971928656101227,0.10579734295606613,0.30264192819595337,0.22485630214214325,0.8155165314674377,0.5791709423065186,0.515144944190979,0.9318790435791016,-1.0327889919281006,-0.5228046178817749,0.45488956570625305,-0.0028240084648132324,0.35920676589012146,0.9428719878196716,-0.7118756771087646,0.3585211932659149,-0.017732419073581696,-0.5235555768013,0.07489483803510666,-0.658746600151062,0.7964764833450317,-0.4888646602630615,0.28608396649360657,-0.03747262805700302,-0.04427522420883179,0.28482499718666077,1.111541509628296,0.43597060441970825,0.9077187180519104,-0.5579017996788025,-0.7250155210494995,0.5118474960327148,0.16353264451026917,0.4681674540042877,1.0761622190475464,-0.7733654975891113,0.30780526995658875,0.09849514812231064,-0.5658184885978699,-0.043046481907367706
-0.4160398244857788,0.11832314729690552,-0.05202636122703552,0.7593835592269897,-0.34646591544151306,-0.12920670211315155,-0.43522536754608154,0.014743180945515633,-0.006846094503998756,0.7998716235160828,-0.36474233865737915,-0.016254812479019165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2755872905254364,0.8193653225898743,-0.3195345401763916,-0.5761414766311646,0.2602919936180115,-0.8777366876602173,0.03228113055229187,0.80947345495224,-0.3754846155643463,-0.06881207227706909,0.03103390336036682,-0.8922942876815796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964550137519836,0.0838278979063034,-0.0838569849729538,0.9964701533317566,-0.006741524673998356,-0.00448700413107872,-0.18374209105968475,-0.14644671976566315,-1.198806643486023,-0.0598602294921875,-0.04834796115756035,-0.007884921506047249,0.08744770288467407,-0.00511661171913147,-0.0177629254758358,-0.022471100091934204,0.08987022936344147,0.03732914477586746,0.08108401298522949,-0.06560766696929932,0.004838485270738602,0.038058776408433914,0.034617096185684204,-0.033793553709983826,0.009964581578969955,-0.028737906366586685,0.06834854185581207,-0.02249365672469139,0.02594107761979103,-0.032683420926332474,0.036308083683252335,0.6917759776115417,-0.21632120013237,-0.012971446849405766,-0.3284999132156372,0.02998540550470352,0.12041211873292923,0.6340122818946838,0.004791269078850746,0.37566664814949036,-0.2912847697734833,-1.0207017660140991,-0.06621767580509186,-0.1665850579738617,0.6306039690971375,0.5751076936721802,-0.016909532248973846,-0.176052987575531,0.2570161819458008,-0.24122661352157593,0.14359135925769806,-0.658746600151062,0.7964764833450317,-0.4888646602630615,0.28608396649360657,-0.03747262805700302,-0.04427522420883179,0.28482499718666077,1.111541509628296,0.43597060441970825,0.9077187180519104,-0.5579017996788025,-0.7250155210494995,0.5118474960327148,0.16353264451026917,0.4681674540042877,1.0761622190475464,-0.7733654975891113,0.30780526995658875,0.09849514812231064,-0.5658184885978699,-0.043046481907367706,-0.3099725544452667,1.3765994310379028,-0.9112818837165833,0.40451493859291077,-0.21764697134494781,-0.5877805352210999,-0.117189921438694,1.534276008605957,0.1572568267583847,0.7716020941734314,-0.09084656089544296,-0.9430979490280151,0.40869003534317017,0.21281182765960693,0.47017940878868103,1.066275954246521,-0.8070360422134399,0.3194867968559265,0.29411381483078003,-0.467685341835022,-0.22483938932418823
-0.41069990396499634,0.1337367296218872,-0.05796945095062256,0.7482341527938843,-0.3414282202720642,-0.1456914097070694,-0.43448853492736816,0.029962047934532166,-0.01389399729669094,0.7983014583587646,-0.36403417587280273,-0.03302571922540665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2498134970664978,0.6733063459396362,-0.25239402055740356,-0.52013099193573,0.23507103323936462,-0.7172338962554932,0.04596039652824402,0.6638832688331604,-0.3062162399291992,-0.0979006290435791,0.04415586590766907,-0.7310476303100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976999163627625,0.06690821051597595,-0.06688198447227478,0.997757077217102,-0.011028324253857136,0.002026446396484971,-0.3026827275753021,-0.1657114177942276,-0.6137375235557556,-0.05772817134857178,-0.027882158756256104,-0.015019355341792107,0.08765584230422974,-0.011022597551345825,-0.029729317873716354,-0.02137938141822815,0.10861226916313171,0.03404247388243675,0.0892791748046875,-0.06334957480430603,-0.019084013998508453,0.03617299720644951,0.030810784548521042,-0.02152189053595066,0.020241985097527504,-0.029173824936151505,0.06464366614818573,-0.016383783891797066,0.021748697385191917,-0.030589360743761063,0.1380585879087448,0.9805476665496826,-0.37269267439842224,-0.009914894588291645,-0.25896304845809937,-0.68028324842453,0.03185790404677391,0.9731519818305969,-0.1689477264881134,0.44511356949806213,0.09454703330993652,-1.1858265399932861,-0.1060277447104454,-0.19613958895206451,0.5866177678108215,0.47589612007141113,-0.022005483508110046,-0.18146181106567383,0.3106582760810852,-0.19968406856060028,0.09334387630224228,-0.3099725544452667,1.3765994310379028,-0.9112818837165833,0.40451493859291077,-0.21764697134494781,-0.5877805352210999,-0.117189921438694,1.534276008605957,0.1572568267583847,0.7716020941734314,-0.09084656089544296,-0.9430979490280151,0.40869003534317017,0.21281182765960693,0.47017940878868103,1.066275954246521,-0.8070360422134399,0.3194867968559265,0.29411381483078003,-0.467685341835022,-0.22483938932418823,-0.31008848547935486,1.9005677700042725,-1.3244264125823975,0.4996550381183624,-0.23086155951023102,-0.9619817137718201,-0.26479750871658325,1.7807395458221436,0.03362398222088814,0.7009207606315613,0.029186736792325974,-1.0050238370895386,0.32946258783340454,0.20093673467636108,0.3946026861667633,1.0420398712158203,-0.7879538536071777,0.39035913348197937,0.419863224029541,-0.3647204339504242,-0.4453725814819336
-0.4060472846031189,0.14525540173053741,-0.06212212145328522,0.7385783195495605,-0.3370630741119385,-0.15789605677127838,-0.4333869516849518,0.0412985123693943,-0.019094744697213173,0.7959555983543396,-0.3629761040210724,-0.04549671709537506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23345127701759338,0.5524821281433105,-0.1941632479429245,-0.4832655191421509,0.21852105855941772,-0.5834754705429077,0.06088912487030029,0.5432178974151611,-0.24783076345920563,-0.12955069541931152,0.05843639373779297,-0.5969827771186829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981956481933594,0.05871516093611717,-0.05861545726656914,0.9982473254203796,-0.013027608394622803,0.007406925782561302,-0.199614018201828,-0.0525912269949913,-0.4182617664337158,-0.05549508333206177,-0.005357284098863602,-0.028091896325349808,0.08632034063339233,-0.01673835515975952,-0.05170727148652077,-0.022605210542678833,0.12913723289966583,0.029215076938271523,0.09699517488479614,-0.06103259325027466,-0.04343700408935547,0.03358478471636772,0.027298521250486374,-0.012027264572679996,0.028428681194782257,-0.02956773340702057,0.062377337366342545,-0.009699635207653046,0.018341664224863052,-0.029486840590834618,0.07338806986808777,1.1211316585540771,-0.7482327818870544,-0.1488732099533081,-0.37141698598861694,-1.1098461151123047,-0.07795953750610352,0.9833260178565979,-0.21968278288841248,0.34011080861091614,0.11398591846227646,-1.1861802339553833,-0.1272382140159607,-0.15064872801303864,0.43072235584259033,0.3730818033218384,-0.018122835084795952,-0.09085030853748322,0.33049651980400085,-0.1612185537815094,0.04832245036959648,-0.31008848547935486,1.9005677700042725,-1.3244264125823975,0.4996550381183624,-0.23086155951023102,-0.9619817137718201,-0.26479750871658325,1.7807395458221436,0.03362398222088814,0.7009207606315613,0.029186736792325974,-1.0050238370895386,0.32946258783340454,0.20093673467636108,0.3946026861667633,1.0420398712158203,-0.7879538536071777,0.39035913348197937,0.419863224029541,-0.3647204339504242,-0.4453725814819336,-0.23262253403663635,1.9168567657470703,-1.4453675746917725,0.38719943165779114,-0.06765396147966385,-1.029918909072876,-0.46866336464881897,1.7705309391021729,0.011537659913301468,0.9513611197471619,-0.1031453087925911,-0.9389854669570923,0.2892109453678131,0.20672133564949036,0.320986270904541,0.9735532999038696,-0.768866240978241,0.4454536736011505,0.45659610629081726,-0.2834545075893402,-0.5954113602638245
-0.4013618528842926,0.15583601593971252,-0.06573598086833954,0.7289035320281982,-0.3326873779296875,-0.16903042793273926,-0.43205296993255615,0.05169076472520828,-0.023807227611541748,0.7931194305419922,-0.361696720123291,-0.05690503120422363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2346813678741455,0.5173057317733765,-0.17395764589309692,-0.4839792847633362,0.218915194272995,-0.5433403253555298,0.0696040689945221,0.5078096985816956,-0.22952081263065338,-0.14793723821640015,0.06673559546470642,-0.5571320652961731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984264373779297,0.05439114198088646,-0.054231997579336166,0.998458981513977,-0.014268305152654648,0.01101260632276535,-0.14296606183052063,-0.0651307925581932,-0.02073027938604355,-0.05334022641181946,0.01732500270009041,-0.04300305247306824,0.0839948058128357,-0.01708546280860901,-0.07380317151546478,-0.026146233081817627,0.14746057987213135,0.023708654567599297,0.10577422380447388,-0.0607132613658905,-0.06377752870321274,0.03093918226659298,0.024524856358766556,-0.0050768475048244,0.03441174700856209,-0.02987896464765072,0.061306413263082504,-0.0033934384118765593,0.015590487979352474,-0.029069138690829277,0.14051316678524017,1.121349811553955,-0.6775287985801697,-0.046316005289554596,0.14392270147800446,-1.067505121231079,-0.19011984765529633,0.860440194606781,-0.3237909972667694,0.44068387150764465,-0.019865166395902634,-0.963239312171936,-0.13384924829006195,-0.13628290593624115,0.32345661520957947,0.2648318409919739,-0.014118324033915997,-0.03952636197209358,0.2995992600917816,-0.13030226528644562,0.01731174997985363,-0.23262253403663635,1.9168567657470703,-1.4453675746917725,0.38719943165779114,-0.06765396147966385,-1.029918909072876,-0.46866336464881897,1.7705309391021729,0.011537659913301468,0.9513611197471619,-0.1031453087925911,-0.9389854669570923,0.2892109453678131,0.20672133564949036,0.320986270904541,0.9735532999038696,-0.768866240978241,0.4454536736011505,0.45659610629081726,-0.2834545075893402,-0.5954113602638245,-0.2503415048122406,1.7807061672210693,-1.3657596111297607,0.20047926902770996,0.007660293951630592,-1.0164601802825928,-0.6182469725608826,1.744926929473877,-0.0016857502050697803,1.2758961915969849,-0.20496022701263428,-0.8442164659500122,0.28094765543937683,0.19438505172729492,0.25384166836738586,0.973431408405304,-0.6960922479629517,0.4805009663105011,0.4432116448879242,-0.22899781167507172,-0.6870344877243042
-0.3966600298881531,0.16594763100147247,-0.0690804272890091,0.7192191481590271,-0.3283064663410187,-0.17962966859340668,-0.4306027889251709,0.06161089986562729,-0.02827557735145092,0.7900381088256836,-0.36030668020248413,-0.06778199970722198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675481140613556,0.5360308885574341,-0.16772188246250153,-0.5484640598297119,0.2482086420059204,-0.5583927035331726,-0.21929293870925903,0.4590282142162323,-0.23187296092510223,0.374603271484375,-0.16887634992599487,-0.5139026641845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985019564628601,0.05285146087408066,-0.05264159291982651,0.9985037446022034,-0.01492226030677557,0.014036635868251324,-0.16053825616836548,-0.037998586893081665,-0.03690478950738907,-0.05127960443496704,0.03667605295777321,-0.05578609183430672,0.08125090599060059,-0.017325282096862793,-0.09325437247753143,-0.032148510217666626,0.16402769088745117,0.01733659766614437,0.11655306816101074,-0.0628945529460907,-0.07909047603607178,0.02850971557199955,0.02247883565723896,-0.00039650907274335623,0.038907743990421295,-0.030027711763978004,0.06086904555559158,0.0018428708426654339,0.013329104520380497,-0.02904631197452545,0.06735924631357193,0.9071827530860901,-0.5890049934387207,-0.11593233048915863,0.007100473158061504,-0.9244282841682434,-0.29751840233802795,0.8305361866950989,-0.3375126123428345,0.5326060652732849,-0.13381831347942352,-0.7049618363380432,-0.11230717599391937,-0.09316036850214005,0.21283398568630219,0.20433643460273743,-0.005698021501302719,-0.015616536140441895,0.24053016304969788,-0.1079244539141655,-0.00027902063447982073,-0.2503415048122406,1.7807061672210693,-1.3657596111297607,0.20047926902770996,0.007660293951630592,-1.0164601802825928,-0.6182469725608826,1.744926929473877,-0.0016857502050697803,1.2758961915969849,-0.20496022701263428,-0.8442164659500122,0.28094765543937683,0.19438505172729492,0.25384166836738586,0.973431408405304,-0.6960922479629517,0.4805009663105011,0.4432116448879242,-0.22899781167507172,-0.6870344877243042,-0.3061963617801666,1.7364619970321655,-1.2648837566375732,0.11943008750677109,-0.03928380459547043,-1.0668632984161377,-0.774660050868988,1.6895630359649658,-0.06588788330554962,1.5710047483444214,-0.22644536197185516,-0.7776309847831726,0.2667342722415924,0.1479528546333313,0.21107015013694763,0.9908285737037659,-0.6130495667457581,0.48632368445396423,0.42373666167259216,-0.15660470724105835,-0.7393073439598083
